League;Season;Player;Team;GP;MIN;3PM;3PA;FTM;FTA;TOV;REB;AST;STL;BLK;PTS
Euroleague;2019 - 2020;Michael Roll;MIL;28;613.5;39;89;13;15;27;71;45;15;1;210
Euroleague;2019 - 2020;Anthony Gill;KHI;25;472.9;22;50;34;40;21;112;29;8;11;208
Euroleague;2019 - 2020;Arturas Milaknis;ZAL;28;618.0;45;114;25;30;20;41;17;24;1;208
Euroleague;2019 - 2020;Jordan Taylor;LYV;26;527.0;24;72;41;60;39;38;98;14;3;207
Euroleague;2019 - 2020;Rudy Fernandez;RMB;25;499.0;52;125;27;35;16;51;51;24;3;203
Euroleague;2019 - 2020;Tim Abromaitis;ZEN;27;491.2;31;76;29;37;12;101;26;13;8;202
Euroleague;2019 - 2020;Edy Tavares;RMB;28;642.1;0;1;32;49;29;199;22;17;61;202
Euroleague;2019 - 2020;Jordan Loyd;VAL;18;394.1;33;77;41;53;32;34;43;13;1;200
Euroleague;2019 - 2020;Pierria Henry;CAJ;25;616.2;18;61;43;59;57;90;85;40;0;197
Euroleague;2019 - 2020;Nik Stauskas;CAJ;22;451.6;38;90;25;32;28;47;35;12;4;197
Euroleague;2019 - 2020;Daniel Hackett;CSKA;23;461.3;34;77;29;36;34;59;57;23;0;191
Euroleague;2019 - 2020;Kevin Punter;ZVE;12;264.8;25;52;42;47;10;13;18;7;1;191
Euroleague;2019 - 2020;Quim Colom;VAL;26;480.2;28;89;39;55;48;40;109;17;0;191
Euroleague;2019 - 2020;Fabien Causeur;RMB;25;408.3;26;55;13;20;21;37;37;8;1;187
Euroleague;2019 - 2020;George Papagiannis;PAN;27;473.7;0;2;16;24;27;128;6;10;25;186
Euroleague;2019 - 2020;Aleksandar Vezenkov;OLY;26;354.7;28;61;21;26;8;53;13;7;5;183
Euroleague;2019 - 2020;Jeremy Evans;KHI;21;426.5;7;16;26;35;18;93;16;12;13;179
Euroleague;2019 - 2020;Alberto Abalde;VAL;23;499.3;15;53;36;50;19;92;38;11;0;179
Euroleague;2019 - 2020;Andrew Albicy;ZEN;27;580.7;37;105;25;44;42;44;90;24;1;178
Euroleague;2019 - 2020;Gabriel Deck;RMB;24;482.5;7;27;41;50;16;77;36;7;3;178
Euroleague;2019 - 2020;Nigel Hayes;ZAL;28;624.4;29;78;25;33;15;99;27;10;6;176
Euroleague;2019 - 2020;James Gist;ZVE;25;506.5;4;19;35;59;38;111;33;17;9;175
Euroleague;2019 - 2020;Fernando San Emeterio;VAL;24;426.1;29;62;30;40;20;43;39;9;0;175
Euroleague;2019 - 2020;Stefan Jovic;KHI;23;534.1;25;47;21;34;38;44;96;30;3;174
Euroleague;2019 - 2020;Nikola Kalinic;FEN;26;595.6;16;51;40;46;44;64;43;22;3;172
Euroleague;2019 - 2020;Vanja Marinkovic;VAL;27;402.0;23;70;30;36;26;28;11;11;0;171
Euroleague;2019 - 2020;Mike Tobey;VAL;21;320.3;12;39;27;38;17;90;13;10;10;171
Euroleague;2019 - 2020;Matt Janning;CAJ;28;635.2;35;123;20;22;30;55;42;21;1;169
Euroleague;2019 - 2020;K.C. Rivers;ZAL;18;384.7;40;97;9;10;8;27;20;17;0;167
Euroleague;2019 - 2020;Jaycee Carroll;RMB;22;294.9;32;79;10;12;11;26;11;4;2;166
Euroleague;2019 - 2020;Mateusz Ponitka;ZEN;18;438.2;12;37;34;48;32;82;29;15;6;164
Euroleague;2019 - 2020;Kostas Mitoglou;PAN;28;389.3;8;27;35;46;16;103;13;24;7;163
Euroleague;2019 - 2020;Theo Maledon;LYV;22;389.0;18;49;31;45;41;39;69;7;2;163
Euroleague;2019 - 2020;Maurice Ndour;VAL;26;390.6;4;10;29;36;17;62;11;23;9;163
Euroleague;2019 - 2020;Petteri Koponen;BAY;24;410.9;41;82;13;17;24;28;36;6;0;162
Euroleague;2019 - 2020;Youssoupha Fall;CAJ;28;379.5;0;0;28;62;36;135;3;6;18;162
Euroleague;2019 - 2020;Charles Lombahe-Kahudi;LYV;23;492.2;23;63;22;26;17;67;19;11;3;161
Euroleague;2019 - 2020;Adam Hanga;FCB;28;567.2;16;58;27;36;43;82;95;19;6;161
Euroleague;2019 - 2020;Micheal Eric;CAJ;28;419.4;0;0;21;46;35;76;9;21;17;159
Euroleague;2019 - 2020;Ante Tomic;FCB;28;462.4;0;1;23;38;38;112;29;10;7;159
Euroleague;2019 - 2020;Peyton Siva;BER;17;360.2;20;73;54;63;39;25;88;16;0;158
Euroleague;2019 - 2020;Augustine Rubit;OLY;26;397.5;8;16;37;45;24;77;15;11;10;157
Euroleague;2019 - 2020;Jan Vesely;FEN;18;456.9;0;2;25;48;22;77;28;23;12;155
Euroleague;2019 - 2020;Janis Strelnieks;CSKA;21;338.0;20;48;35;38;17;37;43;12;0;151
Euroleague;2019 - 2020;Nikita Kurbanov;CSKA;28;568.4;28;63;19;24;23;98;42;18;9;149
Euroleague;2019 - 2020;Dejan Davidovac;ZVE;24;450.7;15;46;35;44;18;69;14;19;6;148
Euroleague;2019 - 2020;Joel Bolomboy;CSKA;27;455.8;13;40;26;35;21;108;18;8;12;147
Euroleague;2019 - 2020;Sertac Sanli;EFE;21;244.9;2;7;26;33;17;46;7;4;9;146
Euroleague;2019 - 2020;Colton Iverson;ZEN;26;423.6;0;1;34;50;37;120;27;9;13;146
Euroleague;2019 - 2020;Vladimir Stimac;ZVE;13;297.8;3;8;29;44;19;81;14;7;6;144
Euroleague;2019 - 2020;Louis Labeyrie;VAL;27;547.1;12;37;33;41;17;123;20;13;8;139
Euroleague;2019 - 2020;Arturas Gudaitis;MIL;19;321.1;1;1;58;77;22;83;9;8;17;139
Euroleague;2019 - 2020;Melih Mahmutoglu;FEN;21;361.9;33;65;4;5;4;17;10;6;0;137
Euroleague;2019 - 2020;Aaron Doornekamp;VAL;28;453.6;32;79;11;16;12;65;26;12;3;137
Euroleague;2019 - 2020;Adreian Payne;LYV;13;236.8;17;43;28;33;12;51;10;7;7;137
Euroleague;2019 - 2020;Nemanja Nedovic;MIL;17;280.9;24;70;29;35;20;21;29;5;1;135
Euroleague;2019 - 2020;Alex Renfroe;ZEN;22;410.3;15;45;29;42;43;38;101;18;2;132
Euroleague;2019 - 2020;Rihards Lomazs;LYV;27;355.7;22;57;28;33;16;22;22;9;0;132
Euroleague;2019 - 2020;Wade Baldwin IV;OLY;24;403.1;8;30;31;49;36;43;44;12;1;131
Euroleague;2019 - 2020;Quincy Acy;MAC;27;525.7;18;69;16;20;33;94;19;16;22;130
Euroleague;2019 - 2020;Alex Abrines;FCB;25;370.5;30;65;10;12;6;52;10;14;2;130
Euroleague;2019 - 2020;Jake Wiley;PAN;24;282.9;0;1;21;30;8;43;7;11;9;129
Euroleague;2019 - 2020;Makai Mason;BER;20;219.3;15;34;34;37;18;13;22;8;0;125
Euroleague;2019 - 2020;Amine Noua;LYV;25;352.5;15;46;10;16;21;51;8;8;7;125
Euroleague;2019 - 2020;Yovel Zoosman;MAC;23;406.6;11;39;21;25;26;62;39;24;2;124
Euroleague;2019 - 2020;Antoine Diot;LYV;23;395.7;25;67;14;18;42;25;65;16;1;123
Euroleague;2019 - 2020;Amedeo Della Valle;MIL;21;251.9;15;30;36;43;5;19;10;10;1;123
Euroleague;2019 - 2020;Brock Motum;VAL;21;259.0;12;31;25;31;11;30;9;8;1;123
Euroleague;2019 - 2020;Tyler Cavanaugh;BER;19;278.4;15;42;32;33;9;62;18;10;4;121
Euroleague;2019 - 2020;Sergio Llull;RMB;16;297.1;21;73;25;28;27;19;56;9;1;120
Euroleague;2019 - 2020;Jake Cohen;MAC;21;284.9;13;26;13;19;17;45;19;11;2;120
Euroleague;2019 - 2020;Ali Muhammed;FEN;22;319.6;24;66;18;19;20;28;29;10;0;120
Euroleague;2019 - 2020;Nihad Djedovic;BAY;14;320.7;12;48;17;19;22;33;31;14;0;119
Euroleague;2019 - 2020;Joffrey Lauvergne;FEN;19;263.5;2;7;15;34;16;51;16;3;3;119
Euroleague;2019 - 2020;Marius Grigonis;ZAL;10;257.6;17;44;22;26;13;26;20;5;1;115
Euroleague;2019 - 2020;Nicolas Laprovittola;RMB;23;311.1;13;46;26;30;40;32;68;8;0;115
Euroleague;2019 - 2020;Jeffery Taylor;RMB;24;447.1;22;56;4;6;17;51;30;10;3;114
Euroleague;2019 - 2020;Nate Wolters;MAC;15;289.8;10;33;9;18;13;27;40;6;0;113
Euroleague;2019 - 2020;Alec Peters;EFE;27;370.1;15;37;22;26;10;57;14;9;2;113
Euroleague;2019 - 2020;Guillem Vives;VAL;20;408.5;14;57;21;23;29;28;41;16;2;113
Euroleague;2019 - 2020;Luca Vildoza;CAJ;16;370.1;17;59;12;12;30;31;51;18;7;113
Euroleague;2019 - 2020;Ognjen Dobric;ZVE;22;321.5;15;42;13;19;10;38;19;17;2;112
Euroleague;2019 - 2020;Pierre Oriola;FCB;28;408.9;14;28;15;27;14;59;18;9;3;107
Euroleague;2019 - 2020;Evgeny Voronov;ZEN;18;316.0;18;52;17;27;21;19;18;9;2;107
Euroleague;2019 - 2020;Deni Avdija;MAC;26;371.4;13;47;10;18;19;68;30;10;6;105
Euroleague;2019 - 2020;Stratos Perperoglou;ZVE;13;214.6;15;42;16;22;16;34;7;7;0;101
Euroleague;2019 - 2020;Tarik Black;MAC;11;216.4;0;0;32;46;23;53;11;9;8;100
Euroleague;2019 - 2020;Angelo Caloiaro;MAC;18;377.1;11;32;27;33;7;51;25;12;0;100
Euroleague;2019 - 2020;Ilimane Diop;CAJ;27;286.5;6;21;25;33;22;53;7;8;14;99
Euroleague;2019 - 2020;James Anderson;EFE;28;400.6;14;44;12;16;9;90;9;8;4;98
Euroleague;2019 - 2020;Branko Lazic;ZVE;25;405.9;14;48;6;9;15;32;16;16;1;98
Euroleague;2019 - 2020;Edwin Jackson;LYV;17;342.6;5;51;27;34;21;25;27;6;2;98
Euroleague;2019 - 2020;Johannes Thiemann;BER;16;227.7;7;13;21;28;9;50;12;5;0;98
Euroleague;2019 - 2020;Victor Claver;FCB;17;360.3;15;33;12;12;7;51;27;13;4;97
Euroleague;2019 - 2020;Sam Van Rossom;VAL;14;290.2;16;46;15;16;19;29;64;7;0;97
Euroleague;2019 - 2020;Taylor Rochestie;OLY;21;301.4;14;34;17;20;33;21;76;6;0;97
Euroleague;2019 - 2020;Dairis Bertans;KHI;21;355.0;24;56;8;10;11;12;24;7;0;96
Euroleague;2019 - 2020;John DiBartolomeo;MAC;12;161.9;16;34;18;19;10;12;20;10;0;94
Euroleague;2019 - 2020;Wesley Johnson;PAN;28;440.1;15;57;14;21;11;68;16;17;14;93
Euroleague;2019 - 2020;Michael Ojo;ZVE;22;251.5;0;0;35;46;28;66;6;17;4;91
Euroleague;2019 - 2020;Ismael Bako;LYV;24;264.0;0;0;27;33;8;50;7;8;24;91
